group_family,group_rank,representation,Nf,L,T,beta,m,value_sqrtsigma_wilson,uncertainty_sqrtsigma_wilson,value_sqrtsigma,uncertainty_sqrtsigma,value_A1++_mass,uncertainty_A1++_mass,value_E++_mass,uncertainty_E++_mass,value_T2++_mass,uncertainty_T2++_mass,value_mpcac_mass,uncertainty_mpcac_mass,value_g5_mass,uncertainty_g5_mass,value_gk_mass,uncertainty_gk_mass,value_g5_decay_const,uncertainty_g5_decay_const,value_gk_decay_const,uncertainty_gk_decay_const,source
SUN,2,ADJ,2,8,64,2.25,-1.15,,,,,,,,,,,0.1178,0.0028,0.53,0.016,,,,,,,
SUN,2,ADJ,2,8,16,2.25,0.25,,,,,1.159,0.098,2.18,0.22,,,1.07205,0.00097,2.6535,0.0021,2.6613,0.0022,0.315,0.0063,0.3629,0.008,"https://arxiv.org/pdf/1104.4301.pdf, private communication"
SUN,2,ADJ,2,8,16,2.25,-0.25,,,,,1.108,0.097,1.92,0.22,,,0.8552,0.0011,2.3092,0.00287,2.3241,0.0031,0.3579,0.0074,0.435,0.01,"https://arxiv.org/pdf/1104.4301.pdf, private communication"
SUN,2,ADJ,2,8,16,2.25,-0.5,,,,,1.045,0.07,1.93,0.19,,,0.7224,0.0013,2.0934,0.0032,2.1155,0.0037,0.3729,0.0087,0.475,0.013,"https://arxiv.org/pdf/1104.4301.pdf, private communication"
SUN,2,ADJ,2,8,16,2.25,-0.75,,,,,0.919,0.064,1.27,0.12,,,0.5607,0.0018,1.8136,0.0047,1.8473,0.0055,0.375,0.012,0.511,0.021,"https://arxiv.org/pdf/1104.4301.pdf, private communication"
SUN,2,ADJ,2,8,16,2.25,-0.9,,,,,0.666,0.044,0.874,0.077,,,0.433,0.0018,1.5582,0.0068,1.5987,0.0081,0.315,0.013,0.441,0.023,"https://arxiv.org/pdf/1104.4301.pdf, private communication"
SUN,2,ADJ,2,8,16,2.25,-0.95,0.1974,0.0083,0.2218,0.0035,0.793,0.041,1.129,0.085,,,0.3849,0.0016,1.4488,0.0068,1.4902,0.0084,0.291,0.012,0.411,0.022,"https://arxiv.org/pdf/1104.4301.pdf, https://arxiv.org/pdf/1004.3206"
SUN,2,ADJ,2,8,16,2.25,-0.975,0.2066,0.0097,0.2094,0.0049,,,,,,,0.3582,0.0017,1.383,0.0074,1.4251,0.0091,0.274,0.011,0.388,0.021,"https://arxiv.org/pdf/1104.4301.pdf, https://arxiv.org/pdf/1004.3206"
SUN,2,ADJ,2,8,16,2.25,-1,0.196,0.0085,0.2252,0.0062,,,,,,,0.3314,0.0019,1.3137,0.0078,1.3553,0.0097,0.258,0.013,0.368,0.023,"https://arxiv.org/pdf/1104.4301.pdf, https://arxiv.org/pdf/1004.3206"
SUN,2,ADJ,2,8,16,2.25,-1.025,0.1689,0.0044,0.2109,0.0046,,,,,,,0.3001,0.0019,1.2222,0.009,1.26,0.011,0.23,0.01,0.324,0.018,"https://arxiv.org/pdf/1104.4301.pdf, https://arxiv.org/pdf/1004.3206"
SUN,2,ADJ,2,8,16,2.25,-1.05,0.1679,0.0047,0.2074,0.0038,,,,,,,0.2688,0.0015,1.129,0.0083,1.1645,0.0099,0.197,0.0064,0.2692,0.0089,"https://arxiv.org/pdf/1104.4301.pdf, https://arxiv.org/pdf/1004.3206"
SUN,2,ADJ,2,8,16,2.25,-1.075,0.1629,0.0027,0.2068,0.00094,,,,,,,0.2352,0.0018,1.011,0.013,1.042,0.016,0.185,0.011,0.258,0.02,"https://arxiv.org/pdf/1104.4301.pdf, https://arxiv.org/pdf/1004.3206"
SUN,2,ADJ,2,8,16,2.25,-1.1,0.1553,0.0028,0.20443,0.00082,,,,,,,0.1992,0.0032,0.886,0.014,0.914,0.019,0.1642,0.0099,0.227,0.017,"https://arxiv.org/pdf/1104.4301.pdf, https://arxiv.org/pdf/1004.3206"
SUN,2,ADJ,2,8,16,2.25,-1.125,0.1462,0.0026,0.20423,0.00087,,,,,,,0.1595,0.025,0.725,0.014,0.747,0.018,0.1478,0.076,0.2,0.015,"https://arxiv.org/pdf/1104.4301.pdf, https://arxiv.org/pdf/1004.3206"
SUN,2,ADJ,2,8,16,2.25,-1.15,0.1368,0.002,0.20402,0.00067,,,,,,,0.115,0.0031,0.519,0.018,0.534,0.023,0.1439,0.007,0.194,0.1,"https://arxiv.org/pdf/1104.4301.pdf, https://arxiv.org/pdf/1004.3206"
SUN,2,ADJ,2,8,16,2.25,-1.175,0.131,0.0019,0.2067,0.0011,,,,,,,0.0628,0.003,0.285,0.023,0.295,0.03,0.1569,0.0043,0.212,0.0081,"https://arxiv.org/pdf/1104.4301.pdf, https://arxiv.org/pdf/1004.3206"
SUN,2,ADJ,2,12,64,2.25,-1.15,,,,,,,,,,,0.1161,0.0015,0.586,0.014,,,,,,,
SUN,2,ADJ,2,12,24,2.25,-0.95,0.225,0.011,0.2181,0.0023,,,,,,,0.39017,0.00068,1.472,0.0023,1.5186,0.0028,0.322,0.0061,0.468,0.011,"https://arxiv.org/pdf/1104.4301.pdf, https://arxiv.org/pdf/1004.3206"
SUN,2,ADJ,2,12,24,2.25,-1,0.1785,0.0057,0.1182,0.004,0.658,0.056,0.886,0.073,,,0.33623,0.00082,1.3441,0.0028,1.3932,0.0037,0.2942,0.0073,0.434,0.013,"https://arxiv.org/pdf/1104.4301.pdf, https://arxiv.org/pdf/1004.3206"
SUN,2,ADJ,2,12,24,2.25,-1.05,0.1491,0.0073,0.1597,0.0024,0.51,0.033,,,,,0.2747,0.00091,1.1782,0.039,1.2252,0.0051,0.269,0.011,0.395,0.019,"https://arxiv.org/pdf/1104.4301.pdf, https://arxiv.org/pdf/1004.3206, private communications"
SUN,2,ADJ,2,12,24,2.25,-1.075,0.1398,0.0063,0.1461,0.002,,,,,,,0.2393,0.001,1.066,0.0055,1.1058,0.0068,0.231,0.013,0.333,0.024,"https://arxiv.org/pdf/1104.4301.pdf, https://arxiv.org/pdf/1004.3206"
SUN,2,ADJ,2,12,24,2.25,-1.1,0.1205,0.0056,0.1427,0.0021,,,,,,,0.2014,0.001,0.931,0.0065,0.9638,0.0079,0.1523,0.0085,0.208,0.014,"https://arxiv.org/pdf/1104.4301.pdf, https://arxiv.org/pdf/1004.3206"
SUN,2,ADJ,2,12,24,2.25,-1.125,0.113,0.0054,0.1338,0.0005,,,,,,,0.16013,0.00092,0.7697,0.006,0.7963,0.0068,0.1485,0.0063,0.2062,0.0097,"https://arxiv.org/pdf/1104.4301.pdf, https://arxiv.org/pdf/1004.3206"
SUN,2,ADJ,2,12,24,2.25,-1.15,0.0829,0.0026,0.1337,0.0009,,,,,,,0.1149,0.0015,0.572,0.012,0.588,0.015,0.0955,0.0053,0.1296,0.0089,"https://arxiv.org/pdf/1104.4301.pdf, https://arxiv.org/pdf/1004.3206"
SUN,2,ADJ,2,12,24,2.25,-1.175,0.0918,0.0036,0.1333,0.0006,,,,,,,0.0653,0.0014,0.3277,0.0095,0.336,0.011,0.0985,0.0033,0.1298,0.0054,"https://arxiv.org/pdf/1104.4301.pdf, https://arxiv.org/pdf/1004.3206"
SUN,2,ADJ,2,12,24,2.25,-1.18,0.0944,0.0036,0.1333,0.0011,,,,,,,0.0547,0.0017,0.282,0.011,0.294,0.013,0.0984,0.0053,0.1311,0.0078,"https://arxiv.org/pdf/1104.4301.pdf, https://arxiv.org/pdf/1004.3206"
SUN,2,ADJ,2,12,24,2.25,-1.185,0.0834,0.0029,0.1425,0.0047,,,,,,,0.0418,0.0016,0.206,0.011,0.213,0.011,0.1056,0.0043,0.1366,0.0063,"https://arxiv.org/pdf/1104.4301.pdf, https://arxiv.org/pdf/1004.3206"
SUN,2,ADJ,2,12,24,2.25,-1.19,0.0851,0.0034,0.138,0.0037,,,,,,,0.03,0.0011,0.1476,0.0082,0.1539,0.0096,0.1129,0.0032,0.1496,0.0036,"https://arxiv.org/pdf/1104.4301.pdf, https://arxiv.org/pdf/1004.3206"
SUN,2,ADJ,2,16,64,2.25,-1.05,0.17,0.02,0.1587,0.0018,0.561,0.034,0.58,0.08,0.71,0.08,0.2755,0.00046,1.184,0.0019,,,,,,,private communications
SUN,2,ADJ,2,16,64,2.25,-1.15,,,,,,,,,,,0.11642,0.00071,0.6085,0.0058,,,,,,,private communications
SUN,2,ADJ,2,16,32,2.25,-1.15,0.079,0.0034,0.1029,0.0019,,,,,,,0.11731,0.00077,0.6121,0.0064,0.6305,0.0083,0.0983,0.0044,0.1314,0.0078,"https://arxiv.org/pdf/1104.4301.pdf, https://arxiv.org/pdf/1004.3206"
SUN,2,ADJ,2,16,32,2.25,-1.175,0.0966,0.0078,0.10057,0.00065,,,,,,,0.06579,0.00077,0.3652,0.0087,0.381,0.01,0.0746,0.0035,0.1037,0.0064,"https://arxiv.org/pdf/1104.4301.pdf, https://arxiv.org/pdf/1004.3206"
SUN,2,ADJ,2,16,32,2.25,-1.18,0.0648,0.0033,0.1086,0.0013,,,,,,,0.05437,0.00079,0.3042,0.0069,0.3174,0.008,0.0736,0.0037,0.0992,0.0059,"https://arxiv.org/pdf/1104.4301.pdf, https://arxiv.org/pdf/1004.3206"
SUN,2,ADJ,2,16,32,2.25,-1.185,0.0612,0.0036,0.09953,0.00013,,,,,,,0.04217,0.00084,0.2241,0.0062,0.2297,0.0072,0.0763,0.0032,0.0992,0.0044,"https://arxiv.org/pdf/1104.4301.pdf, https://arxiv.org/pdf/1004.3206"
SUN,2,ADJ,2,16,32,2.25,-1.19,0.0704,0.004,0.1021,0.0013,,,,,,,0.03065,0.00072,0.1682,0.0062,0.1764,0.0064,0.0776,0.0027,0.1038,0.0036,"https://arxiv.org/pdf/1104.4301.pdf, https://arxiv.org/pdf/1004.3206"
SUN,2,ADJ,2,24,64,2.25,-1.15,,,,,,,,,,,0.11803,0.00038,0.6391,0.0022,,,,,,,
SUN,2,ADJ,2,24,64,2.25,-1.05,,,0.1458,0.0055,0.52,0.026,0.74,0.05,0.79,0.05,0.27528,0.00026,1.1827,0.0012,,,,,,,private communications
SUN,2,ADJ,2,24,64,2.25,-1.18,,,,,,,,,,,0.05528,0.00025,0.3239,0.0049,0.3295,0.0062,0.0398,0.0027,0.0455,0.0041,https://arxiv.org/pdf/1104.4301.pdf
SUN,2,ADJ,2,24,64,2.25,-1.185,,,,,,,,,,,0.04287,0.00029,0.2462,0.0058,0.2566,0.0075,0.0696,0.0065,0.091,0.011,https://arxiv.org/pdf/1104.4301.pdf
SUN,2,ADJ,2,24,64,2.25,-1.19,,,,,,,,,,,0.02967,0.0005,0.1741,0.0052,0.1759,0.0059,0.0501,0.003,0.0601,0.0052,https://arxiv.org/pdf/1104.4301.pdf
SUN,2,ADJ,2,32,48,2.25,-1.05,0.154,0.008,0.1546,0.0021,0.556,0.031,0.79,0.04,0.82,0.05,,,,,,,,,,,private communications
SUN,2,ADJ,2,32,64,2.25,-1.15,,,0.06119,0.00078,0.225,0.014,0.1841,0.0322,0.3791,0.0309,0.11792,0.0006334,0.638678,0.0027515,,,,,,,private communications
SUN,2,ADJ,2,48,80,2.25,-1.15,0.0677,0.0042,0.0613,0.0026,0.256,0.018,0.23,0.0225,0.303,0.03,0.118137,0.0002611,0.640749,0.0013456,,,,,,,private communications
